Date set up,Site,Phloem_feeder_treatment,Ant treatment,Branch ID,Number of leaves,Phloem-feeders found,Number phloem-feeders,Density phloem-feeders,Caterpillars found1,Caterpillars found2,Caterillars found3,Caterpillars found4,Number cats found,Density cats found,Number large gen cats found,Density large gen cats found,Ants found,Caterpillars stocked1,Caterpillars stocked2,Stocked large generalist cats,Stocked density large gen cats,Stocked generalist cats,Stocked density gen cats,Membracids stocked,S1 date,S1 phloem-feeders,S1 phloem-feeders present?,S1 Number phloem-feeders,S1 Density phloem-feeders,S1 Number cats < 1cm,S1 Density cats <1cm,S1 Number cats > 1cm,S1 Density cats > 1cm,S1 Total Cats,S1 Density Total Cats,S1 Ants found,S1_Small_Generalist,S1_Small_Gen_Density,S1_Big_Generalist,S1_Big_Gen_Density,S1_Total_Generalists,S1_Gen_Density,S1_Small_Specialist,S1_Small_Spec_Density,S1_Big_Specialist,S1_Big_Spec_Density,S1_Total_Specialists,S1_Spec_Density,S1 Notes,S2 date,S2 phloem-feeders,S2 Number cats < 1cm,S2 Density cats < 1cm,S2 Number cats > 1cm,S2 Density cats > 1cm,S2 Total Cats,S2 Density total cats,S2 Ants found,S2_Small_Generalist,S2_Big_Generalist,S2_Generalist,S2_Small_Gen_Density,S2_Big_Gen_Density,S2_Gen_Density,S2_Small_Specialist,S2_Small_Spec_Density,S2_Big_Specialist,S2_Big_Spec_Density,S2 Notes,S1_S2 Total cats,S1_S2_Density_total_cats,S1_S2_SG_Small_cats,S1_S2_SG_Small_Density,S1_S2_Small_Generalist,S1_S2_Small_Gen_Density,S1_S2_Large_Generalist,S1_S2_Large_Gen_Density,S1_S2_Small_Spec_Density,S1_S2_Large_Spec_Density
2-Jun-22,Cockaponset pit,removed,exclusion,C602-1A,188,1 membracid,1,0.531914894,,,,,0,0,0,0,3 Camponotus chromaiodes,Lambdina,Zale,2,1.063829787,2,1.063829787,0,10-Jun-22,none,0,0,0,4,2.127659574,1,0.531914894,5,2.659574468,none,4,2.127659574,1,0.531914894,5,2.659574468,0,0,0,0,0,0,,20-Jun-22,none,0,0,1,0.531914894,1,0.282933454,none,0,0,0,0,0,0,0,0,1,0.531914894,,6,3.191489362,4,1.063829787,4,1.063829787,1,0.265957447,0,0.265957447
2-Jun-22,Cockaponset pit,replaced,exclusion,C602-1C,99,1 coccid,1,1.01010101,Lambdina,,,,1,1.01010101,1,1.01010101,1 C.c. 1 Formica,Lambdina,Melanolophia,2,2.02020202,2,2.02020202,1,10-Jun-22,coccids,1,2,2.02020202,0,0,1,1.01010101,1,1.01010101,none,0,0,1,1.01010101,1,1.01010101,0,0,0,0,0,0,,20-Jun-22,old coccids,3,3.03030303,1,1.01010101,4,1.020304051,none,2,1,3,2.02020202,1.01010101,3.03030303,0,0,0,0,1 micro,5,5.050505051,2,1.01010101,2,1.01010101,2,1.01010101,0,0
2-Jun-22,Cockaponset pit,replaced,control,C602-1D,256,many aphids,10,3.90625,Tolype,,,,1,0.390625,1,0.390625,1 C.c. many Crematogaster,Lambdina,Tolype,2,0.78125,2,0.78125,1,10-Jun-22,coccids_ aphids_ 1 membracid,1,13,5.078125,0,0,0,0,0,0,many Crematogaster,0,0,0,0,0,0,0,0,0,0,0,0,,20-Jun-22,aphids_ 1 new coccid,3,1.171875,2,0.78125,5,0.305175781,1 C.c._ many Crematogaster,4,0,4,1.5625,0,1.5625,0,0,0,0,1 micro,5,1.953125,4,0.78125,4,0.78125,0,0,0,0
2-Jun-22,Cockaponset pit,removed,control,C602-1B,216,1 coccid,1,0.462962963,,,,,0,0,0,0,1 C.c. 1 Crematogaster,Lambdina,Achatia,2,0.925925926,2,0.925925926,0,10-Jun-22,none,0,0,0,1,0.462962963,1,0.462962963,2,0.925925926,1 Formica,1,0.462962963,1,0.462962963,2,0.925925926,0,0,0,0,0,0,,20-Jun-22,none,3,1.388888889,3,1.388888889,6,0.643004115,2 Formica,1,2,3,0.462962963,0.925925926,1.388888889,0,0,1,0.462962963,2 micros,8,3.703703704,2,0.462962963,2,0.462962963,3,0.694444444,0,0.231481481
2-Jun-22,Cockaponset pit,replaced,control,C602-2D,178,1 membracid_ 2 coccids,3,1.685393258,Achatia,,,,1,0.561797753,1,0.561797753,Formica,Melanolophia,Heterocampa,2,1.123595506,2,1.123595506,1,10-Jun-22,1 membracid_ coccids,1,3,1.685393258,2,1.123595506,1,0.561797753,3,1.685393258,2 C.c._ 1 Crematogaster,2,1.123595506,1,0.561797753,3,1.685393258,0,0,0,0,0,0,,20-Jun-22,none,5,2.808988764,0,0,5,0,3 Formica_ 1 Crematogaster,3,0,3,1.685393258,0,1.685393258,0,0,0,0,2 micros,8,4.494382022,5,1.404494382,5,1.404494382,1,0.280898876,0,0
2-Jun-22,Cockaponset pit,replaced,exclusion,C602-2C,154,1 coccid,1,0.649350649,Achatia,,,,1,0.649350649,1,0.649350649,Formica,Himella,Heterocampa,2,1.298701299,2,1.298701299,1,10-Jun-22,1 membracid_ coccids,1,3,1.948051948,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,,20-Jun-22,none,3,1.948051948,0,0,3,0,1 Crematogaster,3,0,3,1.948051948,0,1.948051948,0,0,0,0,,3,1.948051948,3,0.974025974,3,0.974025974,0,0,0,0
2-Jun-22,Cockaponset pit,removed,exclusion,C602-2A,81,2 membracids_ 2 coccids,4,4.938271605,Melanolophia,,,,1,1.234567901,1,1.234567901,Formica,Melanolophia,Zale,2,2.469135802,2,2.469135802,0,10-Jun-22,none,0,0,0,0,0,0,0,0,0,1 Formica,0,0,0,0,0,0,0,0,0,0,0,0,,20-Jun-22,none,1,1.234567901,0,0,1,0,none,0,0,0,0,0,0,1,1.234567901,0,0,,1,1.234567901,1,0.617283951,0,0,0,0,0.617283951,0
2-Jun-22,Cockaponset pit,removed,control,C602-2B,282,2 membracids,2,0.709219858,Lambdina,Lambdina,Lambdina,Lambdina,4,1.418439716,4,1.418439716,1 C.c.,Melanolophia,Achatia,2,0.709219858,2,0.709219858,0,10-Jun-22,none,0,0,0,0,0,0,0,0,0,3 Formica,0,0,0,0,0,0,0,0,0,0,0,0,,20-Jun-22,none,2,0.709219858,0,0,2,0,5 Formica,2,0,2,0.709219858,0,0.709219858,0,0,0,0,,2,0.709219858,2,0.354609929,2,0.354609929,0,0,0,0
2-Jun-22,Cockaponset pit,removed,exclusion,C602-3A,126,2 coccids,2,1.587301587,Heterocampa,Heterocompa,Himella,,3,2.380952381,3,2.380952381,none,Himella,Heterocampa,2,1.587301587,2,1.587301587,0,10-Jun-22,none,0,0,0,1,0.793650794,0,0,1,0.793650794,1 C.c._ 1 Formica,0,0,0,0,0,0,1,0.793650794,0,0,1,0.793650794,,20-Jun-22,none,0,0,1,0.793650794,1,0.629881582,none,0,0,0,0,0,0,0,0,1,0.793650794,,2,1.587301587,1,0.396825397,0,0,0,0,0.396825397,0.396825397
2-Jun-22,Cockaponset pit,removed,control,C602-3B,137,1 membracid,1,0.729927007,Lambdina,Catocala amica,,,2,1.459854015,1,0.729927007,3 C.c.,Lambdina,Melanolophia,2,1.459854015,2,1.459854015,0,10-Jun-22,none,0,0,0,0,0,1,0.729927007,1,0.729927007,1 C.c.,0,0,1,0.729927007,1,0.729927007,0,0,0,0,0,0,,20-Jun-22,none,1,0.729927007,0,0,1,0,1 Formica,1,0,1,0.729927007,0,0.729927007,0,0,0,0,,2,1.459854015,1,0.364963504,1,0.364963504,1,0.364963504,0,0
2-Jun-22,Cockaponset pit,replaced,exclusion,C602-3C,126,many aphids,10,7.936507937,Zale,,,,1,0.793650794,1,0.793650794,1 Formica many Crematogaster,Lambdina,Himella,2,1.587301587,2,1.587301587,1,10-Jun-22,none,0,0,0,1,0.793650794,1,0.793650794,2,1.587301587,4 Crematogaster_ 2 Formica,1,0.793650794,1,0.793650794,2,1.587301587,0,0,0,0,0,0,Bridge,20-Jun-22,none,1,0.793650794,0,0,1,0,3 Crematogaster,1,0,1,0.793650794,0,0.793650794,0,0,0,0,,3,2.380952381,2,0.793650794,2,0.793650794,1,0.396825397,0,0
2-Jun-22,Cockaponset pit,replaced,control,C602-3D,144,coccids,2,1.388888889,Lambdina,Melanolophia,Melanolophia,Melanolophia,4,2.777777778,4,2.777777778,many Crematogaster,Lambdina,Alsophila,2,1.388888889,2,1.388888889,1,10-Jun-22,1 membracids_ coccids,1,3,2.083333333,1,0.694444444,1,0.694444444,2,1.388888889,2 C.p._ 1 Formica,1,0.694444444,1,0.694444444,2,1.388888889,0,0,0,0,0,0,,20-Jun-22,none,0,0,0,0,0,0,5 Formica,0,0,0,0,0,0,0,0,0,0,,2,1.388888889,1,0.347222222,1,0.347222222,1,0.347222222,0,0
3-Jun-22,Cockaponset pit,removed,exclusion,C603-4A,162,2 membracids,2,1.234567901,Hypagyrtis,small geo,small geo,,3,1.851851852,1,0.617283951,1 C.c.,Melanolophia,small geo,1,0.617283951,1,0.617283951,0,10-Jun-22,none,0,0,0,0,0,1,0.617283951,1,0.617283951,none,0,0,1,0.617283951,1,0.617283951,0,0,0,0,0,0,,20-Jun-22,none,3,1.851851852,1,0.617283951,4,0.381039476,1 C.c._ 1 Formica,3,0,3,1.851851852,0,1.851851852,0,0,0,0,1 micro,5,3.086419753,3,0.925925926,3,0.925925926,1,0.308641975,0,0
3-Jun-22,Cockaponset pit,replaced,control,C603-4D,392,coccids,2,0.510204082,Melanolophia,,,,1,0.255102041,1,0.255102041,1 Crematogaster,Melanolophia,Zale,2,0.510204082,2,0.510204082,1,10-Jun-22,coccids,1,2,0.510204082,1,0.255102041,1,0.255102041,2,0.510204082,2 Crematogaster_ 1 Formica,1,0.255102041,1,0.255102041,2,0.510204082,0,0,0,0,0,0,,20-Jun-22,1 membracid adult,2,0.510204082,0,0,2,0,4 Formica,2,0,2,0.510204082,0,0.510204082,0,0,0,0,,4,1.020408163,3,0.382653061,3,0.382653061,1,0.12755102,0,0
3-Jun-22,Cockaponset pit,removed,control,C603-4B,110,coccids,2,1.818181818,Lambdina,,,,1,0.909090909,1,0.909090909,6 Crematogaster 2 Formica,Himella,Zale,2,1.818181818,2,1.818181818,0,10-Jun-22,none,0,0,0,2,1.818181818,0,0,2,1.818181818,3 Formica,2,1.818181818,0,0,2,1.818181818,0,0,0,0,0,0,,20-Jun-22,none,2,1.818181818,0,0,2,0,1 C.c._ 1 Formica,0,0,0,0,0,0,1,0.909090909,0,0,1 micro,4,3.636363636,3,1.363636364,2,0.909090909,0,0,0.454545455,0
3-Jun-22,Cockaponset pit,replaced,exclusion,C603-4C,150,1 membracid_ coccids,3,2,Orthosia rubescens,,,,1,0.666666667,1,0.666666667,2 Formica,Lambdina,Lithophane antennata,2,1.333333333,2,1.333333333,1,10-Jun-22,1 membracid,1,1,0.666666667,0,0,1,0.666666667,1,0.666666667,1 Formica,0,0,1,0.666666667,1,0.666666667,0,0,0,0,0,0,,20-Jun-22,1 membracid adult,1,0.666666667,0,0,1,0,2 Formica,0,0,0,0,0,0,0,0,0,0,1 micro,2,1.333333333,0,0,0,0,1,0.333333333,0,0
3-Jun-22,Cockaponset pit,removed,exclusion,C603-5A,331,coccids,2,0.604229607,Himella,Melanolophia,Lambdina,,3,0.906344411,3,0.906344411,none,Lambdina,Orthosia rubescens,2,0.604229607,2,0.604229607,0,10-Jun-22,1 coccid,1,1,0.302114804,0,0,1,0.302114804,1,0.302114804,1 Formica,0,0,1,0.302114804,1,0.302114804,0,0,0,0,0,0,1 new coccid removed,20-Jun-22,none,6,1.812688822,2,0.604229607,8,0.182546709,none,5,2,7,1.510574018,0.604229607,2.114803625,1,0.302114804,0,0,,9,2.719033233,6,0.906344411,5,0.755287009,3,0.453172205,0.151057402,0
3-Jun-22,Cockaponset pit,removed,control,C603-5B,121,2 membracids,2,1.652892562,Lambdina,,,,1,0.826446281,1,0.826446281,3 Formica,Lambdina,small geo,1,0.826446281,2,1.652892562,0,10-Jun-22,none,0,0,0,0,0,1,0.826446281,1,0.826446281,2 Formica_ 1 C.c.,0,0,1,0.826446281,1,0.826446281,0,0,0,0,0,0,,20-Jun-22,none,2,1.652892562,0,0,2,0,2 Formica_ 1 Crematogaster,0,0,0,0,0,0,2,1.652892562,0,0,,3,2.479338843,2,0.826446281,0,0,1,0.41322314,0.826446281,0
3-Jun-22,Cockaponset pit,replaced,exclusion,C603-5C,221,coccids,2,0.904977376,Heterocampa,,,,1,0.452488688,1,0.452488688,2 C.c. 1 Formica,Heterocampa,Ennomos subsignaria,2,0.904977376,2,0.904977376,1,10-Jun-22,coccids,1,2,0.904977376,4,1.809954751,0,0,4,1.809954751,none,3,1.357466063,0,0,3,1.357466063,0,0,0,0,0,0,1 micro,20-Jun-22,none,1,0.452488688,2,0.904977376,3,0.409492025,1 C.c.,5,0,5,2.262443439,0,2.262443439,2,0.904977376,0,0,,7,3.167420814,10,2.262443439,8,1.809954751,0,0,0.452488688,0
3-Jun-22,Cockaponset pit,replaced,control,C603-5D,187,coccids,2,1.069518717,Lambdina,small geo,,,2,1.069518717,1,0.534759358,3 C.c.,Lambdina,small geo,1,0.534759358,1,0.534759358,1,10-Jun-22,1 membracid_ coccids,1,3,1.604278075,0,0,0,0,0,0,1 C.c.,0,0,0,0,0,0,0,0,0,0,0,0,,20-Jun-22,1 membracid,2,1.069518717,1,0.534759358,3,0.285967571,1 C.c._ 2 Formica,0,1,1,0,0.534759358,0.534759358,1,0.534759358,0,0,1 micro,3,1.604278075,1,0.267379679,0,0,1,0.267379679,0.267379679,0
6-Jun-22,Meshomasic Kongcut Mtn,removed,control,M606-1B,263,coccids,2,0.760456274,Besma,,,,1,0.380228137,1,0.380228137,1 Formica  ,Himella,Besma,2,0.760456274,2,0.760456274,0,13-Jun-22,none,0,0,0,1,0.380228137,2,0.760456274,3,1.140684411,1 C.c._ 1 Formica,0,0,2,0.760456274,2,0.760456274,1,0.380228137,0,0,1,0.380228137,,21-Jun-22,none,1,0.380228137,0,0,1,0,3 Formica,0,0,0,0,0,0,0,0,0,0,1 micro,4,1.520912548,1,0.190114068,0,0,2,0.380228137,0.190114068,0
6-Jun-22,Meshomasic Kongcut Mtn,replaced,control,M606-1D,231,1 membracid_ coccids,3,1.298701299,Achatia,Nadata,Prochoerodes,,3,1.298701299,2,0.865800866,1 C.c. 1 Formica,Lambdina,Achatia,2,0.865800866,2,0.865800866,2,13-Jun-22,none,0,0,0,0,0,0,0,0,0,1 C.c.,0,0,0,0,0,0,0,0,0,0,0,0,,21-Jun-22,none,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6-Jun-22,Meshomasic Kongcut Mtn,removed,exclusion,M606-1A,396,1 membracid_ coccids,3,0.757575758,Besma,,,,1,0.252525253,1,0.252525253,1 Formica  ,Achatia,Nadata,2,0.505050505,2,0.505050505,0,13-Jun-22,none,0,0,0,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,,21-Jun-22,none,3,0.757575758,2,0.505050505,5,0.127538006,none,3,2,5,0.757575758,0.505050505,1.262626263,0,0,0,0,,5,1.262626263,3,0.378787879,3,0.378787879,2,0.252525253,0,0
6-Jun-22,Meshomasic Kongcut Mtn,replaced,exclusion,M606-1C,343,4 membracids_ coccids,6,1.749271137,Lambdina,,,,1,0.29154519,1,0.29154519,1 C.c. 1 Formica,Achatia,Prochoerodes,2,0.583090379,2,0.583090379,2,13-Jun-22,coccids,1,2,0.583090379,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,,21-Jun-22,1 membracid_ old coccids,0,0,0,0,0,0,none,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
6-Jun-22,Meshomasic Kongcut Mtn,replaced,control,M606-2D,264,1 membracid_ coccids,3,1.136363636,micro,,,,1,0.378787879,0,0,2 C.c.  ,Achatia,Himella,2,0.757575758,2,0.757575758,2,13-Jun-22,none,0,0,0,2,0.757575758,1,0.378787879,3,1.136363636,none,0,0,1,0.378787879,1,0.378787879,1,0.378787879,0,0,1,0.378787879,1 micro,21-Jun-22,old coccids,3,1.136363636,0,0,3,0,none,2,0,2,0.757575758,0,0.757575758,0,0,0,0,reduviid_ 1 micro,6,2.272727273,3,0.568181818,2,0.378787879,1,0.189393939,0.189393939,0
6-Jun-22,Meshomasic Kongcut Mtn,removed,control,M606-2B,152,1 membracid_ coccids,3,1.973684211,,,,,0,0,0,0,1 C.c.,Himella,Cladara atroliturata,2,1.315789474,2,1.315789474,0,13-Jun-22,none,0,0,0,1,0.657894737,1,0.657894737,2,1.315789474,none,1,0.657894737,0,0,1,0.657894737,0,0,1,0.657894737,1,0.657894737,,21-Jun-22,none,1,0.657894737,0,0,1,0,1 Formica,1,0,1,0.657894737,0,0.657894737,0,0,0,0,crab spider probably killed caterpillar (found dead),3,1.973684211,2,0.657894737,2,0.657894737,0,0,0,0.328947368
